status,total_num_contacts_interacted_with,num_#_sms,total_interactions,ave_age,duration(s),num_contacts,ratio_of_bad_words_used,num_*_sms,ave_message_body_length,max_age,ave_daily_sms,user_id,calls,num_#_calls,num_bad_words_used,num_*_calls,ave_duration(s),ave_daily_duration(s),num_derogatory_sms,ave_daily_sms_count,ave_daily_contacts_interacted_with,ave_daily_calls
repaid,409,0,8990,,114007,390,0.00012906556530717606,0,86.89890109890109,,11.48989898989899,344,6715,0,4,2,16.97795979151154,596.8952879581152,4,12.775280898876405,12.121212121212121,35.15706806282723
defaulted,221,0,3722,,39629,516,0.000297548202808855,0,29.394788273615635,,42.638888888888886,345,652,5,5,9,60.780674846625764,1100.8055555555557,5,42.611111111111114,10.194444444444445,18.11111111111111
repaid,207,0,4735,,73256,299,0.0011278195488721805,0,75.8009592326139,,20.62087912087912,346,982,0,54,3,74.59877800407332,1436.3921568627452,54,20.615384615384617,6.675824175824176,19.254901960784313
defaulted,14,0,36,,1391,394,0.0,0,108.6,,3.3333333333333335,347,26,0,0,0,53.5,695.5,0,4.5,5.333333333333333,13.0
repaid,655,0,21612,,146169,938,0.0005388882178594988,0,38.98548780487805,,63.824902723735406,340,5209,0,58,1,28.060856210405067,974.46,55,64.0703125,15.98443579766537,34.72666666666667
defaulted,36,0,227,,684,339,0.0,0,83.71098265895954,,4.2439024390243905,341,53,0,0,0,12.90566037735849,48.857142857142854,0,4.325,2.707317073170732,3.7857142857142856
repaid,491,0,5691,,136688,502,0.0001255020080321285,0,82.57611438183348,,5.530232558139535,342,4502,1,2,13,30.36161705908485,638.7289719626168,2,8.23611111111111,10.125581395348837,21.037383177570092
defaulted,293,0,6696,,75001,322,0.0004677997816934352,0,26.30918248740798,,27.91891891891892,343,1531,0,12,10,48.98824297844546,423.73446327683615,12,77.07462686567165,5.827027027027027,8.649717514124294
repaid,384,0,2861,,64470,317,0.0002115730455939913,0,87.82344213649851,,7.595505617977528,348,2185,0,2,1,29.505720823798626,976.8181818181819,2,11.440677966101696,10.235955056179776,33.10606060606061
repaid,349,0,10511,,79756,472,0.0007133515634288432,0,52.91650587616208,,16.875739644970412,349,4807,0,36,1,16.59163719575619,480.4578313253012,36,17.023880597014927,7.3579881656804735,28.957831325301203
repaid,691,0,12066,,242152,2372,6.537229522128521e-05,0,78.40448979591837,,29.01775147928994,298,7162,0,4,14,33.81066741133762,1705.2957746478874,3,30.79874213836478,26.319526627218934,50.436619718309856
repaid,108,0,3387,,2880,42,0.0004012519059465532,0,21.36964006259781,,38.07142857142857,299,189,0,5,0,15.238095238095237,70.2439024390244,5,43.2027027027027,2.9285714285714284,4.609756097560975
repaid,137,0,2211,,11618,346,0.0005577936163619461,0,53.577936333699235,,41.43181818181818,296,388,0,9,0,29.943298969072163,276.6190476190476,9,43.38095238095238,11.0,9.238095238095237
repaid,87,0,674,,26981,333,0.0,0,41.85897435897436,,6.782608695652174,297,518,0,0,2,52.08687258687259,1173.0869565217392,0,51.666666666666664,9.26086956521739,22.52173913043478
defaulted,341,0,6906,,36246,488,0.00018771704783656103,0,30.104550837421755,,73.8875,294,995,0,6,0,36.428140703517585,863.0,6,73.875,17.75,23.69047619047619
repaid,307,0,3426,,91416,199,0.0,0,112.2141560798548,,3.4716981132075473,295,2874,0,0,6,31.80793319415449,667.2700729927008,0,4.338582677165355,9.559748427672956,20.978102189781023
